house_id,area_sqft,bedrooms,bathrooms,location_score,age_years,distance_city_km,lot_size_sqft,has_garage,has_pool,renovation_years_ago,house_price_inr
100210.95,1973,5,4,7.6,23.0,11.9,5220.0,1,0,0,40275084.0
100210.95,1560,3,3,6.3,13.0,15.8,3882.0,1,0,13,26812029.0
100210.95,2071,4,3,5.8,9.0,21.1,4488.0,0,0,9,29315677.0
100210.95,2640,5,3,7.7,12.0,7.9,3614.0,1,1,4,46250249.55
100210.95,1498,3,3,3.8,15.0,24.0,2663.0,0,0,15,17724566.0
100210.95,1498,3,1,7.4,9.0,13.3,2050.0,0,0,9,26448337.0
100210.95,2676,6,5,7.1,16.0,14.5,6380.199999999993,1,0,16,44768109.0
100210.95,2149,2,1,5.9,19.0,17.4,2268.0,1,0,9,30291804.0
100210.95,1345,2,1,4.7,37.0,12.5,3977.0,0,0,22,16161989.0
100210.95,2003,4,3,1.9,31.0,18.4,5554.0,1,0,17,12273622.0
100210.95,1349,3,2,5.5,30.0,12.8,1955.0,0,0,22,17848557.0
100210.95,1347,3,3,6.7,9.0,11.7,2357.0,1,0,3,24384794.0
100210.95,1807,5,3,5.5,29.0,11.4,2842.0,1,0,8,26452988.0
100210.95,606,1,1,5.2,36.0,19.1,1026.75,0,0,20,6189628.85
100210.95,606,1,1,2.7,15.0,32.8,1506.0,1,0,9,6189628.85
100210.95,1285,3,3,1.9,9.0,32.8,3484.0,1,0,9,7526418.0
100210.95,992,4,3,4.0,28.0,25.8,1726.0,1,0,22,9787652.0
100210.95,1854,4,3,7.4,31.0,18.7,5104.0,1,0,16,32072147.0
100210.95,1060,3,2,6.3,20.0,10.6,2865.0,1,0,4,17185679.0
100210.95,732,1,1,3.6,34.0,21.5,1381.0,0,0,1,6189628.85
100210.95,2603,4,3,2.6,21.0,30.9,5191.0,0,0,3,20698496.0
100210.95,1503,4,4,8.8,11.0,5.8,4396.0,1,0,11,32225228.0
100210.95,1694,4,3,5.1,21.0,17.2,4464.0,0,0,0,25528230.0
100210.95,724,3,2,5.6,23.0,29.4,1980.0,1,0,2,8981606.0
100210.95,1296,2,2,7.7,20.0,12.5,4602.0,1,0,4,24649837.0
